file_path,file_name,language
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 22 april.xlsx.csv","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 22 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 23 april.pdf.txt","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 23 april.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 24 april.pdf.txt","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 24 april.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 25 april.xlsx.csv","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 25 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 26 april.xlsx.csv","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 26 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 27 april.xlsx.csv","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 27 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 28 april.xlsx.csv","Archives coalition\alliance\BATTLE RYTHM ALL\Battle Rythm FHQ ALL - 28 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BJFAC\20170320_DR_Coalition-annuaire-ZEJ-V1.xlsx.csv","Archives coalition\alliance\BJFAC\20170320_DR_Coalition-annuaire-ZEJ-V1.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BJFAC\20170327_UN_JFAC_COALITION_MAB_Coalition17_Gold-v1light.pdf.txt","Archives coalition\alliance\BJFAC\20170327_UN_JFAC_COALITION_MAB_Coalition17_Gold-v1light.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BJFAC\20170423_UN_ COALITION17_COMPLAN-Alliance17_ORIGINAL.pdf.txt","Archives coalition\alliance\BJFAC\20170423_UN_ COALITION17_COMPLAN-Alliance17_ORIGINAL.pdf.txt",en
